#SampleID,Sample type ,Genotype,target,Barcode_system
A1_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
A2_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
A3_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
A4_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
A5_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
A6_a,seed,Telfairia occidentalis,archaea,CaporasoStyle
B1_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
B2_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
B3_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
B4_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
B5_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
B6_a,seed,Amaranthus hybridus,archaea,CaporasoStyle
C1_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
C2_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
C3_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
C4_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
C5_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
C6_a,seed,Solanum macrocarpon,archaea,CaporasoStyle
D1_a,seed,Corchorus olitorius,archaea,CaporasoStyle
D2_a,seed,Corchorus olitorius,archaea,CaporasoStyle
D3_a,seed,Corchorus olitorius,archaea,CaporasoStyle
D4_a,seed,Corchorus olitorius,archaea,CaporasoStyle
D5_a,seed,Corchorus olitorius,archaea,CaporasoStyle
D6_a,seed,Corchorus olitorius,archaea,CaporasoStyle
E1_a,seed,Celosiea argentea,archaea,CaporasoStyle
E2_a,seed,Celosiea argentea,archaea,CaporasoStyle
E3_a,seed,Celosiea argentea,archaea,CaporasoStyle
E4_a,seed,Celosiea argentea,archaea,CaporasoStyle
E5_a,seed,Celosiea argentea,archaea,CaporasoStyle
E6_a,seed,Celosiea argentea,archaea,CaporasoStyle
