#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	species
5bf74637c041dbcdf2a2dc8ca79ce289	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8063576b0c08ea9f40a39f3dcc81f2bc	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Nicotiana_attenuata	Nicotiana_attenuata	Nicotiana_attenuata
fb4c5d6e57976627c2452bb36929bcc1	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Citrus_maxima	Citrus_maxima	Citrus_maxima
7226346a40d74ea2323aa0f41d3618fc	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Citrus_maxima	Citrus_maxima	Citrus_maxima
408c859f5609f6a96910e6f7c7d5049c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
913db6813d294b0d9005eeae6d9d56fd	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Citrus_maxima	Citrus_maxima	Citrus_maxima
da888ee8ba6646a7a89d08fe71a558b3	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
788a0f7266453f4ec09902d11d996653	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
e6575740b17ab50270d1966293d26120	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloferacaceae	Haloterrigena	Haloterrigena_salina_JCM_13891
7acd4721fafcf996f4c1eeb0484e02c2	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8a9a8635494db5ed6d86763a828ee00f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
0fa551461c37552c624a352d9d978e6c	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
9a2aa00535509803489be9d2070af6e1	Archaea	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bb85d0f0c0299b3b8223ae2283b9ad9e	Archaea	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
41f6558b2932ca40105530555c3e09be	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
705b6328d117fb68c0b3c768c76c878b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
4e366659a5a1be142617f3cde1962b88	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
79ad49e22f5472bd89ea7e1a9d537069	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halomicrobiaceae	Halosimplex	Unassigned
07134763995b0cdbb9fcc55ec9cffba9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
764617fb0895641ceb640f4b849f0a16	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Uncultured_Halococcaceae	Uncultured_Uncultured_Halococcaceae
7b2c800da3529bbf4669b558bcee9ee1	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
7d0582ef09c451e331e858d012e45e0b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
