OTUID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
ASV1	422	384	444	340	330	394	1524	5002	2350	4270	4318	2394	284	164	156	194	954	904	27080	34004	43836	54126	61492	28148	1300	458	578	896	752	750
ASV2	12280	9816	13470	16486	9410	11870	2816	6094	5434	7248	7362	4162	900	794	624	802	2752	2268	2508	2964	3170	3596	4164	2400	6020	3336	2234	4246	4640	3876
ASV3	22850	12506	20048	21748	14836	22798	552	86	76	106	138	58	268	140	118	168	140	162	94	148	110	268	212	116	236	162	52	250	182	232
ASV4	58	56	64	58	28	50	42	46	14	50	102	32	15186	12532	9396	13352	13868	10922	30	58	2902	2376	2046	2736	72	38	22	66	38	48
ASV5	42	42	44	58	22	38	48	22	30	20	64	34	9196	8194	5224	8346	9598	8778	36	62	1676	1348	1090	1800	70	24	0	42	48	44
ASV6	76	102	152	150	82	132	38	40	36	74	68	30	64	56	60	70	104	86	60	42	62	78	86	68	13466	4560	2956	11098	8470	6486
ASV7	980	872	1066	1184	742	1204	554	1254	1080	2288	1856	1638	3992	4406	2472	3122	3866	3486	250	698	938	1018	858	736	776	250	114	362	276	220
ASV8	8612	4828	6914	5500	4572	6448	280	0	0	0	102	84	110	64	58	110	106	0	88	80	156	206	256	102	406	306	174	322	1148	312
ASV9	652	504	584	596	646	856	1212	4098	1990	5280	5860	3072	100	66	62	60	680	924	552	626	230	290	296	110	2638	1322	974	1868	2050	1468
ASV10	176	180	252	268	170	306	1520	3208	1844	4454	5040	3468	346	372	162	248	962	1228	420	712	140	136	156	144	692	222	104	286	252	240
ASV11	12	0	0	24	14	0	0	0	14	10	0	10	4088	2796	1548	3688	5614	4026	0	10	924	506	290	882	32	0	0	18	0	20
ASV12	0	0	12	0	0	0	0	8	0	12	0	12	28	16	0	22	24	20	22	0	0	26	16	0	4122	2280	918	2870	2742	2522
ASV13	0	0	0	0	0	0	0	0	0	0	18	0	2308	1650	734	1886	2992	2144	0	0	570	314	162	402	0	4	0	0	26	0
ASV14	2142	1968	2352	2414	1912	2268	0	0	0	10	0	16	32	0	0	0	0	0	16	16	0	0	26	0	0	0	0	0	0	16
ASV15	0	0	20	0	0	0	0	0	0	0	0	0	2172	1672	750	1966	2904	2144	0	0	494	304	152	442	0	0	0	0	0	0
ASV16	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	1656	2160	2234	2746	1402	0	0	0	0	0	0
ASV17	0	0	10	6	12	6	76	184	132	474	5458	164	20	4	8	18	46	88	452	70	12	14	8	0	1062	406	252	554	766	512
ASV18	0	6	0	12	0	0	12	0	0	12	0	0	1516	1592	902	1466	2166	1818	0	0	272	200	194	264	46	0	0	0	0	0
ASV19	0	12	0	0	0	6	18	0	0	36	32	14	1874	1036	554	1482	2202	1466	0	0	374	120	150	278	30	0	0	0	10	0
ASV20	0	0	0	0	0	0	0	0	0	0	0	0	36	44	0	152	86	56	0	0	0	0	0	0	2414	894	594	2228	1270	1200
ASV21	0	10	0	12	0	0	420	1144	586	1824	1728	1042	24	0	18	22	190	310	190	276	124	80	176	72	28	34	0	24	32	16
ASV22	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	16	0	0	2158	942	270	1782	1288	1626
ASV23	10	12	0	0	0	0	10	0	0	0	0	0	458	274	1058	388	448	386	0	0	68	42	242	88	620	390	106	906	352	342
ASV24	562	520	596	578	512	490	98	0	0	0	0	0	138	70	60	164	126	242	162	242	306	214	370	262	0	0	0	84	78	0
ASV25	856	770	946	1234	658	836	36	0	14	0	0	0	32	0	0	0	0	46	0	0	0	12	20	10	38	0	0	26	30	52
ASV26	6	0	0	8	0	8	0	0	0	0	0	0	24	0	20	38	36	20	0	0	0	10	16	14	1378	1080	318	1120	786	710
ASV27	0	0	0	0	0	0	0	22	28	196	62	32	12	0	2	0	16	42	452	698	1212	786	1254	678	44	0	0	24	0	28
