No.	Name	Tech_Rep	Sample Weight	1/x dillution 	Genotype	Type	Ct	Given Conc	Calc Conc (copies/reaction)	Average_copies	copies_dillution	Copies	Copies_eluted_vol	copies_g
9	A1	1	0.43	10	Telfairia occidentalis	Unknown	4.26			205968884	2059688840	2059655230	74147588280	1.72E+11
12	A2	1	0.65	10	Telfairia occidentalis	Unknown	5.62			73033547	730335470	730301860	26290866960	40528544720
15	A3	1	0.53	10	Telfairia occidentalis	Unknown	4.14			224606777	2246067770	2246034160	80857229760	1.52E+11
18	A4	1	0.38	10	Telfairia occidentalis	Unknown	4.16			220988093	2209880930	2209847320	79554503520	2.10E+11
21	A5	1	0.45	10	Telfairia occidentalis	Unknown	4.88			128598565	1285985650	1285952040	46294273440	1.02E+11
24	A6	1	0.51	10	Telfairia occidentalis	Unknown	5.14			105253611	1052536110	1052502500	37890090000	74004082031
9	B1	1	0.39	5	Amaranthus hybridus	Unknown	13.57			23784101	118920505	118914463	594572315	1528463535
12	B2	1	0.71	5	Amaranthus hybridus	Unknown	13.23			29177851	145889255	145883213	729416065	1034632716
15	B3	1	0.54	5	Amaranthus hybridus	Unknown	13.64			22884203	114421015	114414973	572074865	1062941035
18	B4	1	0.57	5	Amaranthus hybridus	Unknown	13.59			23470546	117352730	117346688	586733440	1020583475
21	B5	1	0.62	5	Amaranthus hybridus	Unknown	13.43			25813756	129068780	129062738	645313690	1034488121
24	B6	1	0.66	5	Amaranthus hybridus	Unknown	13.1			31542940	157714700	157708658	788543290	1189894809
27	C1	1	0.86	5	Solanum macrocarpon	Unknown	13.68			22284797	111423985	111417943	557089715	646050927.8
30	C2	1	0.78	5	Solanum macrocarpon	Unknown	13.35			27078890	135394450	135388408	676942040	871898557.4
33	C3	1	0.78	5	Solanum macrocarpon	Unknown	13.18			29938735	149693675	149687633	748438165	956837337
36	C4	1	0.86	5	Solanum macrocarpon	Unknown	13.43			25804592	129022960	129016918	645084590	752460737.2
39	C5	1	0.86	5	Solanum macrocarpon	Unknown	13.33			27507721	137538605	137532563	687662815	799980008.1
42	C6	1	0.96	5	Solanum macrocarpon	Unknown	13.65			22706134	113530670	113524628	567623140	588515438.1
9	D1	1	0.8	5	Corchorus olitorius	Unknown	11.67			77513311	387566555	387474010	13949064360	17423263003
12	D2	1	0.68	5	Corchorus olitorius	Unknown	13.46			26247863	131239315	131146770	4721283720	6895404878
15	D3	1	0.68	5	Corchorus olitorius	Unknown	12.59			44406042	222030210	221937665	7989755940	11668987790
18	D4	1	0.48	5	Corchorus olitorius	Unknown	13.91			19997550	99987750	99895205	3596227380	7416430975
21	D5	1	0.61	5	Corchorus olitorius	Unknown	12.26			54109396	270546980	270454435	9736359660	15906485313
24	D6	1	0.72	5	Corchorus olitorius	Unknown	12.27			53844950	269224750	269132205	9688759380	13512914059
27	E1	1	0.7	5	Celosiea argentea	Unknown	20.31			418022	2090110	1997565	71912340	102849456.5
30	E2	1	0.76	5	Celosiea argentea	Unknown	18.92			972189	4860945	4768400	171662400	226467546.2
33	E2	1	0.64	5	Celosiea argentea	Unknown	18.34			1379048	6895240	6802695	244897020	384876662
36	E4	1	0.82	5	Celosiea argentea	Unknown	18.82			1026896	5134480	5041935	181509660	222711239.3
39	E5	1	0.77	5	Celosiea argentea	Unknown	20.07			484424	2422120	2329575	83864700	109056827.1
42	E6	1	0.67	5	Celosiea argentea	Unknown	19.47			696921	3484605	3392060	122114160	182723567.3
