SampleID,Sample_type,Genotype,target,Barcode_system
A1_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
A2_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
A3_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
A4_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
A5_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
A6_b,seed,Telfairia_occidentalis,16S,CaporasoStyle
B1_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
B2_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
B3_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
B4_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
B5_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
B6_b,seed,Amaranthus_hybridus,16S,CaporasoStyle
C1_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
C2_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
C3_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
C4_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
C5_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
C6_b,seed,Solanum_macrocarpon,16S,CaporasoStyle
D1_b,seed,Corchorus_olitorius,16S,CaporasoStyle
D2_b,seed,Corchorus_olitorius,16S,CaporasoStyle
D3_b,seed,Corchorus_olitorius,16S,CaporasoStyle
D4_b,seed,Corchorus_olitorius,16S,CaporasoStyle
D5_b,seed,Corchorus_olitorius,16S,CaporasoStyle
D6_b,seed,Corchorus_olitorius,16S,CaporasoStyle
E1_b,seed,Celosiea_argentea,16S,CaporasoStyle
E2_b,seed,Celosiea_argentea,16S,CaporasoStyle
E3_b,seed,Celosiea_argentea,16S,CaporasoStyle
E4_b,seed,Celosiea_argentea,16S,CaporasoStyle
E5_b,seed,Celosiea_argentea,16S,CaporasoStyle
E6_b,seed,Celosiea_argentea,16S,CaporasoStyle
