#group,A1_b,A2_b,A3_b,A4_b,A5_b,A6_b,B1_b,B2_b,B3_b,B4_b,B5_b,B6_b,C1_b,C2_b,C3_b,C4_b,C5_b,C6_b,D1_b,D2_b,D3_b,D4_b,D5_b,D6_b,E1_b,E2_b,E3_b,E4_b,E5_b,E6_b
methanotrophy,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,76,42,272,108,120
acetoclastic_methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_disproportionation_of_methyl_groups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_using_formate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_CO2_reduction_with_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_reduction_of_methyl_compounds_with_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogenotrophic_methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanol_oxidation,430,264,268,342,172,332,20,52,38,314,178,46,64,14,2,54,86,98,530,1490,1342,850,1404,772,774,380,100,584,576,354
methylotrophy,430,264,268,342,174,332,20,52,38,314,178,46,64,14,2,54,86,98,530,1490,1342,850,1404,772,928,456,142,856,684,474
aerobic_ammonia_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,26,0
aerobic_nitrite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,26,0
sulfate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,20,10,0
sulfur_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,24,58
dark_sulfite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sulfite_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thiosulfate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,44,20,0,18,0,14
respiration_of_sulfur_compounds,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,104,24,0,38,34,72
arsenate_detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenate_respiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenate_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenite_oxidation_detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenite_oxidation_energy_yielding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dissimilatory_arsenite_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anammox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrate_denitrification,0,0,0,2,0,0,0,0,0,0,0,0,26,14,0,46,38,20,0,0,0,8,0,0,156,126,40,168,138,104
nitrite_denitrification,0,0,0,2,0,0,0,0,0,0,0,0,26,14,0,46,38,20,0,0,0,8,0,0,156,126,40,168,138,104
