SampleID,Sample_type ,Genotype,target,Barcode_system
A1_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
A2_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
A3_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
A4_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
A5_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
A6_f,seed,Telfairia occidentalis,ITS,CaporasoStyle
B1_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
B2_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
B3_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
B4_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
B5_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
B6_f,seed,Amaranthus hybridus,ITS,CaporasoStyle
C1_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
C2_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
C3_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
C4_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
C5_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
C6_f,seed,Solanum macrocarpon,ITS,CaporasoStyle
D1_f,seed,Corchorus olitorius,ITS,CaporasoStyle
D2_f,seed,Corchorus olitorius,ITS,CaporasoStyle
D3_f,seed,Corchorus olitorius,ITS,CaporasoStyle
D4_f,seed,Corchorus olitorius,ITS,CaporasoStyle
D5_f,seed,Corchorus olitorius,ITS,CaporasoStyle
D6_f,seed,Corchorus olitorius,ITS,CaporasoStyle
E1_f,seed,Celosiea argentea,ITS,CaporasoStyle
E2_f,seed,Celosiea argentea,ITS,CaporasoStyle
E3_f,seed,Celosiea argentea,ITS,CaporasoStyle
E4_f,seed,Celosiea argentea,ITS,CaporasoStyle
E5_f,seed,Celosiea argentea,ITS,CaporasoStyle
E6_f,seed,Celosiea argentea,ITS,CaporasoStyle
