OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
d29c7fee81e7a610c0e1a2f004e3e8d9	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
71edb77469cd038fef00ecaaca51e735	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
3baaa1a55f67a004e5bdf88baecff544	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
489dd7c8d1f8e1d353624259934ba747	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
f52d50f879634cbde707a1060c9054c0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
567e18729ca823c53f6aa8a9aee95c98	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
d8bc2315c2df30d41bbe75ece00da83c	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
1b7aa87f90aa82af243c992690ca4fec	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
84e0b092b7b68a7fb61813d73c0ae688	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
6eee6f645cddc89948fcaec8f5ccbde4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
aef5f8af6102274ed6df877cc9bee08a	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
de3538a9d475972ed0cbc7c1705a11b4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
2f9f7978b1ee0df4510fb78a35402e9b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
914ef6bd94b18af6ee287256a25f79b9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
a72c981083dab1cfec2a54b56f61978c	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	Unidentified_Cercospora
298eeb88f720911f4d0c4470e2bf1ed5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
1faac684392066f7419b75837da96151	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Unidentified_Aspergillus
b4aff03c2a954148d7b14678fad098a4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Unidentified_Candida
9472f012632452de3a11aaf4a8c3da82	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Unidentified_Fusarium
