No.	Name	Tech_Rep	Sample Weight	1/x dillution 	Genotype	Type	Ct	Given Conc (copies/reaction)	Calc Conc (copies/reaction)	Average_copies	copies_dillution	Copies	Copies_eluted_vol	copies_g	log10
11	A1	1	0.43	10	Telfairia occidentalis	Unknown	12.3			341048678	3410486780	3410474400	1.23E+11	2.84E+11	11.45353238
14	A2	1	0.65	10	Telfairia occidentalis	Unknown	14.58			83541850	835418500	835406120	30074620320	46361369385	10.66615626
17	A3	1	0.53	10	Telfairia occidentalis	Unknown	11.92			431433024	4314330240	4314317860	1.55E+11	2.91E+11	11.46440608
20	A4	1	0.38	10	Telfairia occidentalis	Unknown	11.89			438440525	4384405250	4384392870	1.58E+11	4.17E+11	11.61980161
23	A5	1	0.45	10	Telfairia occidentalis	Unknown	12.66			273853232	2738532320	2738519940	98586717840	2.17E+11	11.335903
26	A6	1	0.51	10	Telfairia occidentalis	Unknown	13.06			213041057	2130410570	2130398190	76694334840	1.50E+11	11.17549442
29	B1	1	0.39	5	Amaranthus hybridus	Unknown	10.27			1188143312	5940716560	5940704180	2.14E+11	5.50E+11	11.74019052
32	B2	1	0.71	5	Amaranthus hybridus	Unknown	10.62			958863938	4794319690	4794307310	1.73E+11	2.45E+11	11.3888398
35	B3	1	0.54	5	Amaranthus hybridus	Unknown	11.26			644480599	3222402995	3222390615	1.16E+11	2.16E+11	11.33353795
38	B4	1	0.57	5	Amaranthus hybridus	Unknown	10.44			1071476666	5357383330	5357370950	1.93E+11	3.35E+11	11.52566146
41	B5	1	0.62	5	Amaranthus hybridus	Unknown	10.56			992170928	4960854640	4960842260	1.79E+11	2.86E+11	11.45681225
44	B6	1	0.66	5	Amaranthus hybridus	Unknown	10.38			1110320474	5551602370	5551589990	2.00E+11	3.02E+11	11.47940254
47	C1	1	0.86	5	Solanum macrocarpon	Unknown	15.62			44245430	221227150	221214770	7963731720	9235453694	9.965458235
50	C2	1	0.78	5	Solanum macrocarpon	Unknown	15.31			53496489	267482445	267470065	9628922340	12402012287	10.09349216
53	C3	1	0.78	5	Solanum macrocarpon	Unknown	14.83			71770596	358852980	358840600	12918261600	16515292253	10.21788626
56	C4	1	0.86	5	Solanum macrocarpon	Unknown	15.07			61991865	309959325	309946945	11158090020	13015385536	10.11445704
59	C5	1	0.86	5	Solanum macrocarpon	Unknown	14.69			78428061	392140305	392127925	14116605300	16422295603	10.21543387
62	C6	1	0.96	5	Solanum macrocarpon	Unknown	15.28			54315654	271578270	271565890	9776372040	10136207403	10.00587549
13	D1	1	0.8	5	Corchorus olitorius	Unknown	9.23		219485823	192023167	960115835	960109918.3	34563957060	43172566900	10.63520787
16	D2	1	0.68	5	Corchorus olitorius	Unknown	9.66		168609326	120868872.7	604344363.3	604338446.7	21756184080	31774768629	10.5020824
19	D3	1	0.68	5	Corchorus olitorius	Unknown	9.62		173474387	146593817.3	732969086.7	732963170	26386674120	38537569914	10.58588433
22	D4	1	0.48	5	Corchorus olitorius	Unknown	10.54		99359696	69136118.67	345680593.3	345674676.7	12444288360	25663617983	10.40931788
25	D5	1	0.61	5	Corchorus olitorius	Unknown	9.19		224369160	189913968.3	949569841.7	949563925	34184301300	55847576050	10.74700433
28	D6	1	0.72	5	Corchorus olitorius	Unknown	9.19		224369160	265622289.7	1328111448	1328105532	47811799140	66683122929	10.82401593
31	E1	1	0.7	5	Celosiea argentea	Unknown	15.93		3886689	3672189.33	18360946.67	18355030	660781080	945053032	8.97545618
34	E2	1	0.76	5	Celosiea argentea	Unknown	13.86		13510125	10536872.67	52684363.33	52678446.67	1896424080	2501878734	9.398266256
37	E3	1	0.64	5	Celosiea argentea	Unknown	12.29		34757869	25159634.67	125798173.3	125792256.7	4528521240	7116959359	9.852294486
40	E4	1	0.82	5	Celosiea argentea	Unknown	14.68		8257302	7869866	39349330	39343413.33	1416362880	1737868564	9.240016927
43	E5	1	0.77	5	Celosiea argentea	Unknown	15.36		5493450	4742051.67	23710258.33	23704341.67	853356300	1109696099	9.045204059
46	E6	1	0.67	5	Celosiea argentea	Unknown	14.81		7634964	6971559.33	34857796.67	34851880	1254667680	1877401885	9.27355725
