"","Observed","Shannon"
"A1_a",3,1.07855228535366
"A2_a",3,0.780263880894086
"A3_a",4,1.17464852540726
"A4_a",6,1.36265186300104
"A6_a",2,0.392674467227552
"B2_a",4,1.1530299274237
"B5_a",5,1.11685510678078
"C1_a",3,0.287364304680956
"C2_a",5,1.39446110560934
"C3_a",5,1.42889075081606
"C4_a",5,0.899219865569558
"C5_a",3,0.866821938066086
"D2_a",3,0.538456081323952
"D3_a",2,0.650818075871559
"D4_a",3,0.918908084031801
"E1_a",3,0.887628168958383
"E2_a",3,0.452749295076393
"E4_a",5,1.12317278082022
