"","Observed","Shannon"
"A1_b",47,1.49103596902485
"A2_b",41,1.51070741001808
"A3_b",54,1.53001123837263
"A4_b",42,1.44110984379436
"A5_b",43,1.59368824691398
"A6_b",49,1.65984152223791
"B2_b",58,2.07688874338836
"B3_b",50,2.06686834565653
"B4_b",73,2.39450471919739
"B5_b",72,2.37893316705826
"B6_b",60,2.25305075173593
"C1_b",219,3.71548217745341
"C2_b",197,3.5994714268977
"C3_b",183,3.58852643928836
"C4_b",221,3.91999690405767
"C5_b",260,4.03917168768563
"C6_b",226,3.97998166841148
"D1_b",60,1.1115299206448
"D2_b",69,1.28261247691539
"D3_b",103,1.28800525102194
"D4_b",98,1.0755031155193
"D5_b",104,1.1506612791912
"D6_b",147,1.60071259906562
"E1_b",540,4.67755746231527
"E2_b",462,4.67337841245259
"E3_b",319,4.20301794557594
"E4_b",516,4.55764986736663
"E5_b",550,4.76817440981661
"E6_b",491,4.67918057419785
