"","Observed","Shannon"
"A1_f",25,1.28443261565067
"A2_f",32,1.2424997397452
"A3_f",34,1.20127662360199
"A4_f",27,0.405234458658464
"A5_f",30,1.20169452277928
"A6_f",28,1.21058980275769
"B1_f",55,2.60179056625397
"B2_f",49,2.70337872051164
"B3_f",38,2.48307396988273
"B4_f",35,2.58081225171527
"B5_f",53,2.95495577624094
"B6_f",46,2.26458903070901
"C1_f",59,2.35787580242309
"C2_f",55,2.50196420475027
"C3_f",54,2.21135795117082
"C4_f",50,2.33617059547967
"C5_f",49,2.54934274730893
"D1_f",45,2.10486721622434
"D2_f",56,1.96284888506447
"D3_f",55,2.08817788020033
"D4_f",57,2.30246636686538
"D5_f",56,1.91971151253704
"D6_f",43,1.64438827864342
"E1_f",79,2.92631021000702
"E2_f",72,2.91648062592368
"E3_f",81,2.8849083334327
"E4_f",90,2.88222852476432
"E5_f",90,3.06413022196811
"E6_f",94,3.07424203490114
