.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
copies_g,Amaranthus hybridus,Celosiea argentea,6,6,-2.360973008822231,0.018227057176080377,0.18227057176080377,ns
copies_g,Amaranthus hybridus,Corchorus olitorius,6,6,1.1804865044111155,0.23780677487832869,1,ns
copies_g,Amaranthus hybridus,Solanum macrocarpon,6,6,-1.1804865044111155,0.23780677487832869,1,ns
copies_g,Amaranthus hybridus,Telfairia occidentalis,6,6,2.360973008822231,0.018227057176080377,0.18227057176080377,ns
copies_g,Celosiea argentea,Corchorus olitorius,6,6,3.541459513233346,3.979199212278467e-4,0.0039791992122784675,**
copies_g,Celosiea argentea,Solanum macrocarpon,6,6,1.1804865044111155,0.23780677487832869,1,ns
copies_g,Celosiea argentea,Telfairia occidentalis,6,6,4.721946017644462,2.3359869138794853e-6,2.3359869138794854e-5,****
copies_g,Corchorus olitorius,Solanum macrocarpon,6,6,-2.360973008822231,0.018227057176080377,0.18227057176080377,ns
copies_g,Corchorus olitorius,Telfairia occidentalis,6,6,1.1804865044111155,0.23780677487832869,1,ns
copies_g,Solanum macrocarpon,Telfairia occidentalis,6,6,3.541459513233346,3.979199212278467e-4,0.0039791992122784675,**
