.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
log10,Amaranthus hybridus,Celosiea argentea,6,6,-2.360973008822231,0.018227057176080377,0.18227057176080377,ns
log10,Amaranthus hybridus,Corchorus olitorius,6,6,1.1804865044111155,0.23780677487832869,1,ns
log10,Amaranthus hybridus,Solanum macrocarpon,6,6,-1.1804865044111155,0.23780677487832869,1,ns
log10,Amaranthus hybridus,Telfairia occidentalis,6,6,2.360973008822231,0.018227057176080377,0.18227057176080377,ns
log10,Celosiea argentea,Corchorus olitorius,6,6,3.541459513233346,3.979199212278467e-4,0.0039791992122784675,**
log10,Celosiea argentea,Solanum macrocarpon,6,6,1.1804865044111155,0.23780677487832869,1,ns
log10,Celosiea argentea,Telfairia occidentalis,6,6,4.721946017644462,2.3359869138794853e-6,2.3359869138794854e-5,****
log10,Corchorus olitorius,Solanum macrocarpon,6,6,-2.360973008822231,0.018227057176080377,0.18227057176080377,ns
log10,Corchorus olitorius,Telfairia occidentalis,6,6,1.1804865044111155,0.23780677487832869,1,ns
log10,Solanum macrocarpon,Telfairia occidentalis,6,6,3.541459513233346,3.979199212278467e-4,0.0039791992122784675,**
