,Bacteria_richness,Bacteria_Shannon,Fungal_richness,Fungal_Shannon,Genotype
A1_b,52,1.501596671,27,1.277946,Telfairia_occidentalis
A2_b,44,1.505512033,44,1.223571519,Telfairia_occidentalis
A3_b,61,1.546360005,55,1.225111687,Telfairia_occidentalis
A4_b,48,1.456780781,50,0.432727059,Telfairia_occidentalis
A5_b,48,1.572795362,41,1.198120283,Telfairia_occidentalis
A6_b,57,1.646143281,40,1.237839509,Telfairia_occidentalis
B1_b,53,2.151722443,67,2.585546029,Amaranthus_hybridus
B2_b,62,2.083365245,56,2.714635734,Amaranthus_hybridus
B3_b,51,2.065587144,38,2.486849651,Amaranthus_hybridus
B4_b,89,2.393730529,35,2.583944813,Amaranthus_hybridus
B5_b,83,2.391721692,58,2.937048187,Amaranthus_hybridus
B6_b,65,2.263513229,53,2.257004071,Amaranthus_hybridus
C1_b,229,3.735565262,63,2.358877667,Solanum_macrocarpon
C2_b,203,3.606671252,56,2.496098651,Solanum_macrocarpon
C3_b,183,3.596903822,56,2.20565072,Solanum_macrocarpon
C4_b,230,3.916835568,50,2.337117177,Solanum_macrocarpon
C5_b,287,4.060221642,49,2.542776486,Solanum_macrocarpon
C6_b,231,3.98561619,47,2.513220979,Solanum_macrocarpon
D1_b,70,1.096553275,48,2.10846934,Corchorus_olitorius
D2_b,83,1.290126093,60,1.982588891,Corchorus_olitorius
D3_b,136,1.253301337,62,2.069473487,Corchorus_olitorius
D4_b,139,1.081691107,69,2.297174974,Corchorus_olitorius
D5_b,146,1.113938883,66,1.94560779,Corchorus_olitorius
D6_b,173,1.627372014,48,1.638101678,Corchorus_olitorius
E1_b,626,4.69945304,90,2.948641381,Celosiea_argentea
E2_b,522,4.699766089,84,2.942694835,Celosiea_argentea
E3_b,338,4.20343777,88,2.892099747,Celosiea_argentea
E4_b,641,4.584022423,106,2.885684054,Celosiea_argentea
E5_b,636,4.784446844,99,3.067475125,Celosiea_argentea
E6_b,568,4.713774291,116,3.115226749,Celosiea_argentea
