# Constructed from biom file																															
#OTU ID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b	taxonomy
a0901407705992dc213ac509ede97d47	422	384	444	340	330	394	1524	5002	2350	4270	4318	2394	284	164	156	194	954	904	27080	34004	43836	54126	61492	28148	1300	458	578	896	752	750	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Unidentified_Kosakonia
945184b6386c192c0066e0a98a154780	12280	9816	13470	16486	9410	11870	2816	6094	5434	7248	7362	4162	900	794	624	802	2752	2268	2508	2964	3170	3596	4164	2400	6020	3336	2234	4246	4640	3876	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Enterobacter
b383a0f98e44fe8a7452ebf944105c48	76	102	152	150	82	132	38	40	36	74	68	30	64	56	60	70	104	86	60	42	62	78	86	68	13466	4560	2956	11098	8470	6486	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
f4801b7a68515d9005fa572ee6afdf41	980	872	1066	1184	742	1204	554	1254	1080	2288	1856	1638	3992	4406	2472	3122	3866	3486	250	698	938	1018	858	736	776	250	114	362	276	220	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia
c939ee112ba982665e012437dae05c1e	8612	4828	6914	5500	4572	6448	280	0	0	0	102	84	110	64	58	110	106	0	88	80	156	206	256	102	406	306	174	322	1148	312	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Enterobacter
5673ae66819e3bdbbc09461e4959159e	652	504	584	596	646	856	1212	4098	1990	5280	5860	3072	100	66	62	60	680	924	552	626	230	290	296	110	2638	1322	974	1868	2050	1468	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pantoea
9cca219ac7e1d9722ab63545dc219ecd	176	180	252	268	170	306	1520	3208	1844	4454	5040	3468	346	372	162	248	962	1228	420	712	140	136	156	144	692	222	104	286	252	240	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
d95f9ab6280026c27cdb404797be6fa3	0	0	12	0	0	0	0	8	0	12	0	12	28	16	0	22	24	20	22	0	0	26	16	0	4122	2280	918	2870	2742	2522	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
aee9f354c80ca7baa872c3da2fe462c2	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1342	1656	2160	2234	2746	1402	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Unidentified_Enterobacteriaceae
9233e5ddae8fe129db164d1590905605	0	0	10	6	12	6	76	184	132	474	5458	164	20	4	8	18	46	88	452	70	12	14	8	0	1062	406	252	554	766	512	Bacteria; Bacteroidetes; Bacteroidia; Flavobacteriales; Weeksellaceae; Elizabethkingia
05132b1dde6536848b2b69d54c367c2a	0	6	0	12	0	0	12	0	0	12	0	0	1516	1592	902	1466	2166	1818	0	0	272	200	194	264	46	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Luteimonas
48782307120574c67aaa25ec7ce686ba	0	0	0	0	0	0	0	0	0	0	0	0	36	44	0	152	86	56	0	0	0	0	0	0	2414	894	594	2228	1270	1200	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
e1c7d97fe13e9127d225d76a1feb8c78	0	10	0	12	0	0	420	1144	586	1824	1728	1042	24	0	18	22	190	310	190	276	124	80	176	72	28	34	0	24	32	16	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
c55da16f7bb7e9f858929286c9a8bffd	10	12	0	0	0	0	10	0	0	0	0	0	458	274	1058	388	448	386	0	0	68	42	242	88	620	390	106	906	352	342	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
bf6b466fb3a5c79d5e5e953c551b8157	6	0	0	8	0	8	0	0	0	0	0	0	24	0	20	38	36	20	0	0	0	10	16	14	1378	1080	318	1120	786	710	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
605ac9a7e88d47be1bf40c55de175d79	0	0	0	0	0	0	0	22	28	196	62	32	12	0	2	0	16	42	452	698	1212	786	1254	678	44	0	0	24	0	28	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Unidentified_Methylobacterium
594061ed4e2ea378773c474cd4803c29	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1950	630	316	1042	976	552	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Promicromonosporaceae; Promicromonospora
922d33a2963d3e87a3d4df6b82371235	492	394	638	700	476	618	30	38	26	92	88	36	184	238	220	238	378	268	18	0	36	40	54	38	0	38	0	0	0	30	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
6f3f68e5c8e2a11b388ddbbea9fa182d	0	0	0	0	0	0	0	0	0	0	10	0	102	34	166	20	82	24	0	0	6	12	30	0	1096	728	294	912	760	650	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
38367a8a414bbde849313409772ca4b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	600	234	816	824	778	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
050222f3e087e426b8104e8327f804e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1282	654	368	768	774	744	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas
b8c545c99dea06d010eb0bf2c6572d1c	0	52	0	14	0	20	0	0	0	0	0	0	58	36	34	84	82	144	14	40	18	30	52	66	894	470	176	740	716	488	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
eb10c4328f7406f97b124f3113686127	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	1192	224	610	804	694	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Bordetella
b11bb11e69fd71abeb99bb750a3b478a	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	806	832	282	586	934	556	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces
c494b558cdcca734d526fa7ffa7ac0cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	606	1224	1180	206	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Kosakonia
5aec9bd35889489e4a05c78a82358060	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	18	74	56	228	478	880	776	846	438	0	0	0	0	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
0fd71c89bf9bce9fb13615453414bc80	0	0	0	0	0	0	0	0	0	0	14	0	0	36	38	44	38	24	0	0	0	20	12	8	552	624	188	858	864	380	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Promicromonosporaceae; Cellulosimicrobium
04ecfad5772d2e09a84a0f5ef460536c	430	264	268	340	164	330	20	14	4	98	38	0	6	0	0	0	20	24	0	6	10	10	12	8	446	242	60	324	338	170	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Beijerinckiaceae; Methylobacterium
2b45a249e169030289e97fad3b6cf894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	904	622	290	650	630	478	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas
a994002c99e6a2c8ef3cb7be12d51ac4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	484	238	704	386	1324	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Pseudoxanthomonas
10afda2baef44de4c584a6641de399b1	0	0	0	0	0	6	146	366	302	944	872	308	0	0	0	0	128	170	52	86	0	0	0	0	0	12	0	10	16	6	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Sphingomonas
f598bc7510144c02d64e2566a8c75032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	318	200	578	516	536	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus
e57c5df6a9b3b982472e7754ed31f313	0	0	0	0	0	0	0	0	0	0	4	0	438	368	226	410	624	444	0	72	72	58	56	112	0	0	0	26	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Massilia
8df2b2e6c1cb64bd18b81d5bae7f0898	0	8	0	0	0	0	0	6	0	0	0	0	384	380	254	412	618	546	0	0	52	60	48	70	0	0	0	22	0	0	Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Massilia
59e7289380be2a5909212804646e6eb6	0	0	0	0	0	0	0	0	0	0	0	0	174	168	90	246	318	350	0	0	38	30	18	52	408	150	100	214	212	222	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus
